Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
R67,90.500mm,-72.000mm,Top,0.000000,R_0805_2012Metric,20k
R68,100.000mm,-66.500mm,Top,0.000000,R_0805_2012Metric,20k
R69,86.500mm,-74.500mm,Top,90.000000,R_0805_2012Metric,20k
R70,99.000mm,-55.500mm,Top,90.000000,R_0805_2012Metric,470R
R72,79.500mm,-89.500mm,Top,90.000000,R_0805_2012Metric,47k
R73,81.000mm,-84.500mm,Top,90.000000,R_0805_2012Metric,10k
R74,92.000mm,-68.500mm,Top,0.000000,R_0805_2012Metric,10k
R75,95.500mm,-89.500mm,Top,90.000000,R_0805_2012Metric,1k
R76,122.500mm,-86.500mm,Top,0.000000,R_0805_2012Metric,470R
R77,117.500mm,-86.500mm,Top,0.000000,R_0805_2012Metric,470R
R78,123.500mm,-82.500mm,Top,90.000000,R_0805_2012Metric,10k
R79,120.000mm,-82.500mm,Top,90.000000,R_0805_2012Metric,10k
R80,122.500mm,-90.000mm,Top,0.000000,R_0805_2012Metric,10k
R81,110.000mm,-112.500mm,Top,90.000000,R_0805_2012Metric,10k
R82,113.500mm,-93.000mm,Top,0.000000,R_0805_2012Metric,12k
R83,109.500mm,-85.500mm,Top,90.000000,R_0805_2012Metric,12k
R84,110.500mm,-117.500mm,Top,90.000000,R_0805_2012Metric,20k
R85,128.000mm,-92.000mm,Top,90.000000,R_0805_2012Metric,20k
R86,132.000mm,-77.000mm,Top,90.000000,R_0805_2012Metric,470R
R87,127.500mm,-112.000mm,Top,90.000000,R_0805_2012Metric,12k
R88,112.000mm,-105.500mm,Top,90.000000,R_0805_2012Metric,12k
R89,110.000mm,-100.500mm,Top,90.000000,R_0805_2012Metric,10k
R90,113.000mm,-96.500mm,Top,0.000000,R_0805_2012Metric,5k6
R91,115.500mm,-105.500mm,Top,90.000000,R_0805_2012Metric,1M
R92,122.000mm,-117.500mm,Top,90.000000,R_0805_2012Metric,1k
R93,169.000mm,-128.500mm,Top,90.000000,R_0805_2012Metric,1k
R94,169.500mm,-124.000mm,Top,0.000000,R_0805_2012Metric,1k
R95,169.500mm,-117.000mm,Top,0.000000,R_0805_2012Metric,1k
R96,170.500mm,-120.500mm,Top,0.000000,R_0805_2012Metric,1k
R97,169.000mm,-133.500mm,Top,90.000000,R_0805_2012Metric,1k
R98,172.500mm,-131.000mm,Top,90.000000,R_0805_2012Metric,1k
R99,205.000mm,-124.000mm,Top,0.000000,R_0805_2012Metric,100k
R100,203.000mm,-128.000mm,Top,90.000000,R_0805_2012Metric,100k
R101,199.000mm,-131.000mm,Top,0.000000,R_0805_2012Metric,100k
R102,190.500mm,-134.500mm,Top,0.000000,R_0805_2012Metric,100k
R103,209.000mm,-121.500mm,Top,90.000000,R_0805_2012Metric,100k
R104,196.500mm,-134.500mm,Top,0.000000,R_0805_2012Metric,100k
R105,119.200mm,-49.700mm,Top,90.000000,R_0805_2012Metric,15k
R106,119.200mm,-34.800mm,Top,90.000000,R_0805_2012Metric,10k
R107,121.800mm,-34.800mm,Top,90.000000,R_0805_2012Metric,330k
R108,185.500mm,-138.000mm,Top,0.000000,R_0805_2012Metric,100k
R109,189.500mm,-138.500mm,Top,90.000000,R_0805_2012Metric,100k
R110,207.000mm,-127.500mm,Top,0.000000,R_0805_2012Metric,10k
R111,204.500mm,-132.000mm,Top,0.000000,R_0805_2012Metric,10k
R112,200.000mm,-139.000mm,Top,0.000000,R_0805_2012Metric,100k
R113,116.600mm,-49.700mm,Top,90.000000,R_0805_2012Metric,10k
R114,80.500mm,-139.000mm,Top,0.000000,R_0805_2012Metric,237k
